Cur.100 1 476
Bin.100 1 2011
Mer.100 1 353
Two.100 1 344
Cur.100 10 1373
Bin.100 10 3706
Mer.100 10 1225
Two.100 10 1595
Cur.100 50 4524
Bin.100 50 4426
Mer.100 50 4406
Two.100 50 3059
Cur.100 100 2746
Bin.100 100 4781
Mer.100 100 7443
Two.100 100 4859
Cur.100 500 12009
Bin.100 500 6051
Mer.100 500 30406
Two.100 500 10071
Cur.100 1000 14475
Bin.100 1000 7068
Mer.100 1000 59950
Two.100 1000 11530
Cur.100 10000 18895
Bin.100 10000 11007
Mer.100 10000 915484
Two.100 10000 16127
Cur.100 100000 25635
Bin.100 100000 15110
Mer.100 100000 7819191
Two.100 100000 18710
Cur.1000 1 5007
Bin.1000 1 28835
Mer.1000 1 3346
Two.1000 1 3591
Cur.1000 10 19222
Bin.1000 10 64091
Mer.1000 10 18252
Two.1000 10 20959
Cur.1000 50 45496
Bin.1000 50 101820
Mer.1000 50 46817
Two.1000 50 43222
Cur.1000 100 52070
Bin.1000 100 113958
Mer.1000 100 76589
Two.1000 100 53603
Cur.1000 500 253771
Bin.1000 500 172471
Mer.1000 500 400153
Two.1000 500 209355
Cur.1000 1000 287709
Bin.1000 1000 245613
Mer.1000 1000 1010848
Two.1000 1000 266988
Cur.1000 10000 359376
Bin.1000 10000 438286
Mer.1000 10000 8676965
Two.1000 10000 261349
Cur.10000 1 125745
Bin.10000 1 402996
Mer.10000 1 112426
Two.10000 1 132861
Cur.10000 10 236750
Bin.10000 10 843713
Mer.10000 10 221997
Two.10000 10 280024
Cur.10000 50 528143
Bin.10000 50 1283781
Mer.10000 50 499080
Two.10000 50 585025
Cur.10000 100 788320
Bin.10000 100 1856169
Mer.10000 100 848994
Two.10000 100 773841
Cur.10000 500 3776205
Bin.10000 500 4064089
Mer.10000 500 4734256
Two.10000 500 2671240
Cur.10000 1000 4343108
Bin.10000 1000 4335445
Mer.10000 1000 7766084
Two.10000 1000 3127777
Cur.100000 1 1307454
Bin.100000 1 4130650
Mer.100000 1 1200516
Two.100000 1 1320702
Cur.100000 10 1106473
Bin.100000 10 9308957
Mer.100000 10 1087623
Two.100000 10 2960338
Cur.100000 50 4493197
Bin.100000 50 15564096
Mer.100000 50 4233171
Two.100000 50 6049663
Cur.100000 100 11902295
Bin.100000 100 21413719
Mer.100000 100 9407519
Two.100000 100 10227065
